Neighborhood,Latitude,Longitude,From Center
Glimmen,53.1387271,6.6282807,9.807000890068203
Haren,53.1709841,6.6061413,5.926897539024134
Noordlaren,53.1208367,6.6667587,12.771623402076207
Onnen,53.1576456,6.64126,8.408229331999673
Garmerwolde,53.2474709,6.6486168,6.242335311377621
Lellens,53.3012134,6.7107904,13.2049846101379
Sint Annen,53.2979538,6.6652737,10.918595026489259
Ten Boer,53.2773154,6.6951182,10.677917220610427
Ten Post,53.2972128,6.7290836,13.827271749029215
Thesinge,53.2664193,6.6507974,7.63688067385194
Winneweer,53.3110117,6.7443251,15.592381090439334
Wittewierum,53.2858794,6.7474713,14.098602228605742
Woltersum,53.2711193,6.7327923,12.43261437193614
A-Kwartier,53.2183677,6.5605681,0.5029725215267594
Binnenstad,53.217045,6.5664727,0.24710637092495155
Binnenstad-Oost,53.2209161,6.572772,0.3790824452793644
Hortusbuurt,53.223298,6.5602398,0.7007913013046844
Ebbingekwartier,53.2252594,6.5647183,0.7235201571685005
Westerhaven,53.2150852,6.5579685,0.803692343568913
Stationsgebied,53.2113651,6.5649032,0.8816846878395144
De Hoogte,53.2335157,6.5613566,1.668421806352778
Korrewegwijk,53.2314742,6.5706682,1.3923880974999383
Indische buurt,53.2306633,6.5637007,1.32242305917983
Professorenbuurt,53.2308383,6.5739881,1.369762019106445
Noorderplantsoenbuurt,53.2265144,6.5535693,1.2717179710295967
Oosterparkwijk,53.2260266,6.5842054,1.3306607086081739
Oranjewijk,53.2213824,6.5478948,1.3679705975079202
Schildersbuurt,53.2170089,6.5520601,1.0895795946913718
Kostverloren,53.2163221,6.543488,1.6660998531410829
Woonschepenhaven,53.220667399999996,6.598899614427434,2.0711359907582305
Beijum,53.2484754,6.5942749,3.713415877507045
Drielanden,53.2426468,6.6181343,4.253528155993669
Engelbert,53.2080674,6.6476823,5.461609063074418
De Hunze,53.2424802,6.5784497,2.697552273382841
Van Starkenborgh,53.2392699,6.5741897,2.286177480654412
Lewenborg,53.236073,6.61891,3.8908782501221477
Middelbert,53.2213813,6.6371069,4.622680818496187
Noorderhoogebrug,53.2437218,6.5686202,2.744353150971436
Oosterhoogebrug,53.2288815,6.6016977,2.5013115424504604
Ruischerbrug,53.2322203,6.630243,4.406791226271295
Meerstad,53.223811,6.6573269980476955,5.989257096554977
Noorddijk,53.2421075,6.6289646,4.811051308725586
Ulgersmaborg,53.2326412,6.5963229,2.420516598930593
Ruischerwaard,53.2294614,6.6190561,3.600427981626855
Badstratenbuurt,53.2122192,6.5569348,1.0618991670583415
Coendersborg,53.1969608,6.5897592,2.8572215063271407
Corpus den Hoorn,53.1972139,6.5565876,2.548729955088993
Grunobuurt,53.2066154,6.5597569,1.4911592100492446
Helpman,53.1981723,6.5802212,2.4642100454221576
Herewegbuurt,53.2081339,6.5751202,1.3060469965015749
Hoornse Meer,53.1878466,6.5568593,3.553288068862866
Hoornse Park,53.1857305,6.5472459,3.960751026712758
Laanhuizen,53.2088028,6.5531467,1.5132852457621992
Rivierenbuurt,53.2075229,6.5677616,1.2846510265374156
De Linie,53.2074199,6.5834207,1.6552584323564148
Europapark,53.2079147,6.5889933,1.8722758269862534
Euvelgunne,53.2080978,6.6069939,2.8763084009291
Stadspark,53.2029,6.543199638486227,2.446124713862071
Piccardthof,53.1827461,6.5408621,4.43035259712314
De Wijert,53.1927746,6.5721925,2.9392153244105588
Zeeheldenbuurt,53.2124361,6.5517583,1.3124703456719335
Klein Martijn,53.1963098,6.5956751,3.135376870214548
De Meeuwen,53.2135386,6.5823643,1.139319919830521
Villabuurt,53.190704,6.5867408,3.395465256251526
Kop van Oost,53.2172709,6.5837527,1.0705285051682292
De Buitenhof,53.200577,6.5284869,3.3474523469267514
Dorkwerd,53.250464,6.5134013,5.050306923134359
Gravenburg,53.231682,6.5022273,4.612213072478337
De Held,53.2269481,6.5137574,3.728111252633653
Hoogkerk,53.2150401,6.5014133,4.471006126893476
Leegkerk,53.230245,6.4905757,5.319109643545002
Paddepoel Winkelcentrum,53.23016895,6.544080811521209,2.0200930663148466
Reitdiephaven,53.2378206,6.5259554,3.4990926311720294
Zernike Campus,53.2457246,6.5300041526141595,3.9042059623946974
Selwerd Eikenlaan,53.23312,6.5534429,1.841957736518257
Tuinwijk,53.229026,6.5524827,1.5179036049014898
Vinkhuizen,53.226659,6.5274003,2.8408277949686
